"post.prov","group","elpd","prov"
"IN","9",-0.850017352290234,"QC"
"IPU","1",-1.00963658884396,"QC"
"IPU","10",-1.01238549199364,"QC"
"IPU","2",-1.01050610794677,"QC"
"IPU","3",-1.00832168943104,"QC"
"IPU","4",-1.0190046560544,"QC"
"IPU","5",-1.01669428931341,"QC"
"IPU","6",-1.01150438819247,"QC"
"IPU","7",-1.01437419505036,"QC"
"IPU","8",-1.01483136206598,"QC"
"IPU","9",-1.01008884792859,"QC"
"NB2","1",-0.799058909346523,"QC"
"NB2","10",-0.805964501073602,"QC"
"NB2","2",-0.813325586361545,"QC"
"NB2","3",-0.814119565091729,"QC"
"NB2","4",-0.808555643528917,"QC"
"NB2","5",-0.804845161607232,"QC"
"NB2","6",-0.802771390923446,"QC"
"NB2","7",-0.796306590390681,"QC"
"NB2","8",-0.806967035834178,"QC"
"NB2","9",-0.802683846203632,"QC"
"ON","1",-0.733045578032843,"QC"
"ON","10",-0.740647368155297,"QC"
"ON","2",-0.738141141024239,"QC"
"ON","3",-0.736159504131813,"QC"
"ON","4",-0.740569191939153,"QC"
"ON","5",-0.741889583208279,"QC"
"ON","6",-0.740165396561369,"QC"
"ON","7",-0.737602974611762,"QC"
"ON","8",-0.735597714598383,"QC"
"ON","9",-0.723299806628446,"QC"
"AB","1",-0.740303339950005,"AB"
"AB","2",-0.760927939717957,"AB"
"AB","3",-0.774033561666537,"AB"
"AB","4",-0.74579596572053,"AB"
"AB","5",-0.767549727291037,"AB"
"AB","6",-0.762187885096555,"AB"
"AB","7",-0.710817786147762,"AB"
"AB","8",-0.700808294087882,"AB"
"AB","9",-0.775159732560196,"AB"
"AB","10",-0.75972385249459,"AB"
"IN","1",-0.783110330037233,"IN"
"IN","2",-0.812354785967935,"IN"
"IN","3",-0.791938653997226,"IN"
"IN","4",-0.79441120326249,"IN"
"IN","5",-0.782739191166832,"IN"
"IN","6",-0.835713914179687,"IN"
"IN","7",-0.826175058585441,"IN"
"IN","8",-0.857713323593819,"IN"
"IN","9",-0.864721707941763,"IN"
"IN","10",-0.805894764917995,"IN"
"IPU","1",-0.654733047276937,"IPU"
"IPU","2",-0.657633694104233,"IPU"
"IPU","3",-0.646888455811335,"IPU"
"IPU","4",-0.671279214543717,"IPU"
"IPU","5",-0.632439753102075,"IPU"
"IPU","6",-0.655962964598971,"IPU"
"IPU","7",-0.669842913089093,"IPU"
"IPU","8",-0.637220763801976,"IPU"
"IPU","9",-0.655054127960798,"IPU"
"IPU","10",-0.639083989889586,"IPU"
"NB2","1",-0.805442828770877,"NB2"
"NB2","2",-0.790071284834247,"NB2"
"NB2","3",-0.781197735262719,"NB2"
"NB2","4",-0.787746709293157,"NB2"
"NB2","5",-0.831058349470846,"NB2"
"NB2","6",-0.827170257984633,"NB2"
"NB2","7",-0.812759391216463,"NB2"
"NB2","8",-0.791896773065362,"NB2"
"NB2","9",-0.79687339146716,"NB2"
"NB2","10",-0.817496356128947,"NB2"
"ON","1",-0.746955859230181,"ON"
"ON","2",-0.724994371064135,"ON"
"ON","3",-0.748981326453757,"ON"
"ON","4",-0.724594346531376,"ON"
"ON","5",-0.724472405221078,"ON"
"ON","6",-0.706469905879792,"ON"
"ON","7",-0.737988590313779,"ON"
"ON","8",-0.738535634485909,"ON"
"ON","9",-0.758056594072271,"ON"
