"prov.orig","prov.comp","temp","cup","elpd"
"IN","IN",25,"10",-3.11311223593327
"IPU","IN",25,"10",-4.98575461374224
"NB2","IN",25,"10",-22.4182296436564
"ON","IN",25,"10",-8.60466891575489
"QC","IN",25,"10",-7.48968849957451
"AB","IPU",25,"10",-8.66961272210495
"IN","IPU",25,"10",-2.97840483062407
"IPU","IPU",25,"10",-2.2505573544781
"NB2","IPU",25,"10",-9.9943071576345
"ON","IPU",25,"10",-3.68242737862347
"QC","IPU",25,"10",-3.63264098375329
"AB","NB2",25,"10",-10.4829743941306
"IN","NB2",25,"10",-6.41735895350169
"IPU","NB2",25,"10",-8.6508449331008
"NB2","NB2",25,"10",-10.7589123390829
"ON","NB2",25,"10",-4.04177642124675
"QC","NB2",25,"10",-5.25286567640815
"AB","ON",25,"10",-9.61090854807169
"IN","ON",25,"10",-5.55043265545664
"IPU","ON",25,"10",-7.3165474826198
"NB2","ON",25,"10",-7.73160566299295
"ON","ON",25,"10",-2.47036320769123
"QC","ON",25,"10",-5.14566950847607
"AB","QC",25,"10",-11.1103823687917
"IN","QC",25,"10",-5.28977526121806
"IPU","QC",25,"10",-6.83921715389164
"NB2","QC",25,"10",-8.32332299422334
"ON","QC",25,"10",-3.27122908394548
"QC","QC",25,"10",-2.81532058998267
"AB","AB",30,"10",-4.20285064006221
"IN","AB",30,"10",-5.61366602614333
"IPU","AB",30,"10",-4.997047625778
"NB2","AB",30,"10",-5.49167310105165
"ON","AB",30,"10",-5.10039359976402
"QC","AB",30,"10",-6.3787161280699
"AB","IN",30,"10",-3.95132696967193
"IN","IN",30,"10",-3.64527794782059
"IPU","IN",30,"10",-3.51533093978098
"NB2","IN",30,"10",-4.0379578713385
"ON","IN",30,"10",-3.24496084631301
"QC","IN",30,"10",-11.0628565681769
"AB","IPU",30,"10",-6.70702448386554
"IN","IPU",30,"10",-4.85688436139371
"IPU","IPU",30,"10",-3.49702712139805
"NB2","IPU",30,"10",-4.78256089079586
"ON","IPU",30,"10",-3.91696571370082
"QC","IPU",30,"10",-6.58626952462945
